15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0082,0.356,0.0082,1.34,0.0082,3.116,0.0082,5.838,0.0082,10.182,0.0082,25.456,0.0082,42.299,0.0082,73.592,,,,,,
0.0083,0.362,0.0083,1.349,0.0083,3.133,0.0083,5.885,0.0083,10.249,0.0083,25.743,0.0083,40.959,0.0083,74.023,,,,,,
0.0084,0.367,0.0084,1.359,0.0084,3.15,0.0084,5.933,0.0084,10.316,0.0084,26.03,0.0084,39.619,0.0084,74.453,,,,,,
0.0085,0.373,0.0085,1.368,0.0085,3.168,0.0085,5.981,0.0085,10.383,0.0085,26.317,0.0085,38.279,0.0085,74.884,,,,,,
0.0086,0.379,0.0086,1.378,0.0086,3.185,0.0086,6.029,0.0086,10.45,0.0086,26.604,0.0086,36.94,0.0086,75.314,,,,,,
0.0087,0.385,0.0087,1.388,0.0087,3.202,0.0087,6.077,0.0087,10.517,0.0087,26.891,0.0087,35.6,0.0087,75.745,,,,,,
0.0088,0.39,0.0088,1.397,0.0088,3.219,0.0088,6.125,0.0088,10.584,0.0088,27.178,0.0088,34.26,0.0088,76.176,,,,,,
0.0089,0.396,0.0089,1.407,0.0089,3.237,0.0089,6.173,0.0089,10.651,0.0089,27.465,0.0089,32.92,0.0089,76.606,,,,,,
0.009,0.402,0.009,1.416,0.009,3.254,0.009,6.22,0.009,10.718,0.009,27.752,0.009,31.58,0.009,77.037,,,,,,
0.0091,0.406,0.0091,1.424,0.0091,3.273,0.0091,6.249,0.0091,10.766,0.0091,27.848,0.0091,33.638,0.0091,77.468,,,,,,
0.0092,0.41,0.0092,1.432,0.0092,3.292,0.0092,6.278,0.0092,10.814,0.0092,27.944,0.0092,35.695,0.0092,77.898,,,,,,
0.0093,0.413,0.0093,1.439,0.0093,3.311,0.0093,6.307,0.0093,10.862,0.0093,28.04,0.0093,37.753,0.0093,78.329,,,,,,
0.0094,0.417,0.0094,1.447,0.0094,3.33,0.0094,6.335,0.0094,10.91,0.0094,28.135,0.0094,39.81,0.0094,78.76,,,,,,
0.0095,0.421,0.0095,1.455,0.0095,3.349,0.0095,6.364,0.0095,10.957,0.0095,28.231,0.0095,41.868,0.0095,79.19,,,,,,
0.0096,0.425,0.0096,1.462,0.0096,3.369,0.0096,6.393,0.0096,11.005,0.0096,28.327,0.0096,43.925,0.0096,79.621,,,,,,
0.0097,0.429,0.0097,1.47,0.0097,3.388,0.0097,6.421,0.0097,11.053,0.0097,28.422,0.0097,45.983,0.0097,80.052,,,,,,
0.0098,0.433,0.0098,1.478,0.0098,3.407,0.0098,6.45,0.0098,11.101,0.0098,28.518,0.0098,48.04,0.0098,80.482,,,,,,
0.0099,0.436,0.0099,1.485,0.0099,3.426,0.0099,6.479,0.0099,11.149,0.0099,28.614,0.0099,50.098,0.0099,80.913,,,,,,
0.01,0.44,0.01,1.493,0.01,3.445,0.01,6.507,0.01,11.197,0.01,28.709,0.01,52.156,0.01,81.343,,,,,,
0.0101,0.443,0.0101,1.499,0.0101,3.453,0.0101,6.546,0.0101,11.262,0.0101,28.805,0.0101,52.385,0.0101,81.86,,,,,,
0.0102,0.446,0.0102,1.505,0.0102,3.46,0.0102,6.584,0.0102,11.327,0.0102,28.901,0.0102,52.615,0.0102,82.377,,,,,,
0.0103,0.449,0.0103,1.511,0.0103,3.468,0.0103,6.622,0.0103,11.392,0.0103,28.997,0.0103,52.845,0.0103,82.894,,,,,,
0.0104,0.452,0.0104,1.517,0.0104,3.476,0.0104,6.661,0.0104,11.457,0.0104,29.092,0.0104,53.074,0.0104,83.411,,,,,,
0.0105,0.456,0.0105,1.524,0.0105,3.483,0.0105,6.699,0.0105,11.522,0.0105,29.188,0.0105,53.304,0.0105,83.927,,,,,,
0.0106,0.459,0.0106,1.53,0.0106,3.491,0.0106,6.737,0.0106,11.587,0.0106,29.284,0.0106,53.534,0.0106,84.444,,,,,,
0.0107,0.462,0.0107,1.536,0.0107,3.499,0.0107,6.775,0.0107,11.652,0.0107,29.379,0.0107,53.763,0.0107,84.961,,,,,,
0.0108,0.465,0.0108,1.542,0.0108,3.506,0.0108,6.814,0.0108,11.717,0.0108,29.475,0.0108,53.993,0.0108,85.478,,,,,,
0.0109,0.468,0.0109,1.548,0.0109,3.514,0.0109,6.852,0.0109,11.782,0.0109,29.571,0.0109,54.223,0.0109,85.994,,,,,,
0.011,0.471,0.011,1.554,0.011,3.522,0.011,6.89,0.011,11.847,0.011,29.666,0.011,54.452,0.011,86.511,,,,,,
0.0111,0.474,0.0111,1.56,0.0111,3.529,0.0111,6.929,0.0111,11.913,0.0111,29.762,0.0111,54.682,0.0111,87.028,,,,,,
0.0112,0.477,0.0112,1.566,0.0112,3.537,0.0112,6.967,0.0112,11.978,0.0112,29.858,0.0112,54.912,0.0112,87.545,,,,,,
0.0113,0.48,0.0113,1.573,0.0113,3.545,0.0113,7.005,0.0113,12.043,0.0113,29.954,0.0113,55.141,0.0113,88.061,,,,,,
0.0114,0.483,0.0114,1.579,0.0114,3.552,0.0114,7.043,0.0114,12.108,0.0114,30.049,0.0114,55.371,0.0114,88.578,,,,,,
0.0115,0.486,0.0115,1.585,0.0115,3.56,0.0115,7.082,0.0115,12.173,0.0115,30.145,0.0115,55.601,0.0115,89.095,,,,,,
0.0116,0.489,0.0116,1.591,0.0116,3.568,0.0116,7.12,0.0116,12.238,0.0116,30.241,0.0116,55.83,0.0116,89.612,,,,,,
0.0117,0.492,0.0117,1.597,0.0117,3.575,0.0117,7.158,0.0117,12.303,0.0117,30.336,0.0117,56.06,0.0117,90.129,,,,,,
0.0118,0.495,0.0118,1.603,0.0118,3.583,0.0118,7.197,0.0118,12.368,0.0118,30.432,0.0118,56.29,0.0118,90.645,,,,,,
0.0119,0.498,0.0119,1.609,0.0119,3.591,0.0119,7.235,0.0119,12.433,0.0119,30.528,0.0119,56.519,0.0119,91.162,,,,,,
0.012,0.501,0.012,1.615,0.012,3.598,0.012,7.273,0.012,12.498,0.012,30.623,0.012,56.749,0.012,91.679,,,,,,
0.0121,0.505,0.0121,1.622,0.0121,3.606,0.0121,7.311,0.0121,12.563,0.0121,30.719,0.0121,56.979,0.0121,92.196,,,,,,
0.0122,0.508,0.0122,1.628,0.0122,3.614,0.0122,7.35,0.0122,12.628,0.0122,30.815,0.0122,57.208,0.0122,92.712,,,,,,
0.0123,0.511,0.0123,1.634,0.0123,3.621,0.0123,7.388,0.0123,12.693,0.0123,30.911,0.0123,57.438,0.0123,93.229,,,,,,
0.0124,0.514,0.0124,1.64,0.0124,3.629,0.0124,7.426,0.0124,12.758,0.0124,31.006,0.0124,57.668,0.0124,93.746,,,,,,
