15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0057,0.28,0.0057,1.191,0.0057,2.67,0.0057,5.148,0.0057,8.552,0.0057,21.585,0.0057,39.999,0.0057,65.062,0.0057,144.999,,,,
0.0058,0.282,0.0058,1.203,0.0058,2.701,0.0058,5.205,0.0058,8.634,0.0058,21.892,0.0058,40.306,0.0058,65.881,0.0058,146.451,,,,
0.0059,0.284,0.0059,1.215,0.0059,2.731,0.0059,5.262,0.0059,8.716,0.0059,22.199,0.0059,40.613,0.0059,66.699,0.0059,147.904,,,,
0.006,0.286,0.006,1.228,0.006,2.762,0.006,5.32,0.006,8.798,0.006,22.506,0.006,40.92,0.006,67.517,0.006,149.357,,,,
0.0061,0.291,0.0061,1.238,0.0061,2.789,0.0061,5.36,0.0061,8.9,0.0061,22.71,0.0061,41.329,0.0061,67.927,,,,,,
0.0062,0.295,0.0062,1.248,0.0062,2.815,0.0062,5.401,0.0062,9.002,0.0062,22.915,0.0062,41.738,0.0062,68.336,,,,,,
0.0063,0.299,0.0063,1.258,0.0063,2.842,0.0063,5.442,0.0063,9.105,0.0063,23.12,0.0063,42.147,0.0063,68.745,,,,,,
0.0064,0.303,0.0064,1.269,0.0064,2.868,0.0064,5.483,0.0064,9.207,0.0064,23.324,0.0064,42.556,0.0064,69.154,,,,,,
0.0065,0.307,0.0065,1.279,0.0065,2.895,0.0065,5.524,0.0065,9.309,0.0065,23.529,0.0065,42.966,0.0065,69.563,,,,,,
0.0066,0.311,0.0066,1.289,0.0066,2.922,0.0066,5.565,0.0066,9.412,0.0066,23.733,0.0066,43.375,0.0066,69.973,,,,,,
0.0067,0.315,0.0067,1.299,0.0067,2.948,0.0067,5.606,0.0067,9.514,0.0067,23.938,0.0067,43.784,0.0067,70.382,,,,,,
0.0068,0.319,0.0068,1.309,0.0068,2.975,0.0068,5.647,0.0068,9.616,0.0068,24.143,0.0068,44.193,0.0068,70.791,,,,,,
