6mm Copper Pipe,,8mm Copper Pipe,,10mm Copper Pipe,,15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0042,0,0.0042,0,0.0042,0,0.0042,0.356,0.0042,1.26,0.0042,2.954,0.0042,5.455,0.0042,9.24,0.0042,20.787,0.0042,39.528,0.0042,62.885,0.0042,141.991
0.0043,0,0.0043,0,0.0043,0,0.0043,0.36,0.0043,1.277,0.0043,2.999,0.0043,5.522,0.0043,9.358,0.0043,21.053,0.0043,39.856,0.0043,63.72,0.0043,143.935
0.0044,0,0.0044,0,0.0044,0,0.0044,0.364,0.0044,1.293,0.0044,3.044,0.0044,5.59,0.0044,9.477,0.0044,21.319,0.0044,40.183,0.0044,64.555,0.0044,145.878
0.0045,0,0.0045,0,0.0045,0,0.0045,0.368,0.0045,1.309,0.0045,3.089,0.0045,5.657,0.0045,9.596,0.0045,21.585,0.0045,40.51,0.0045,65.39,0.0045,147.822
0.0046,0,0.0046,0,0.0046,0,0.0046,0.372,0.0046,1.326,0.0046,3.134,0.0046,5.725,0.0046,9.714,0.0046,21.851,0.0046,40.838,0.0046,66.224,0.0046,149.766
0.0047,0,0.0047,0,0.0047,0,0.0047,0.376,0.0047,1.342,0.0047,3.179,0.0047,5.792,0.0047,9.833,0.0047,22.117,0.0047,41.165,0.0047,67.059,0.0047,151.71
0.0048,0,0.0048,0,0.0048,0,0.0048,0.381,0.0048,1.359,0.0048,3.224,0.0048,5.86,0.0048,9.952,0.0048,22.383,0.0048,41.493,0.0048,67.894,0.0048,153.653
0.0049,0,0.0049,0,0.0049,0,0.0049,0.385,0.0049,1.375,0.0049,3.269,0.0049,5.927,0.0049,10.07,0.0049,22.649,0.0049,41.82,0.0049,68.729,0.0049,155.597
0.005,0,0.005,0,0.005,0,0.005,0.389,0.005,1.391,0.005,3.314,0.005,5.995,0.005,10.189,0.005,22.915,0.005,42.147,0.005,69.563,0.005,157.541
0.0051,0,0.0051,0,0.0051,0,0.0051,0.395,0.0051,1.404,0.0051,3.341,0.0051,6.06,0.0051,10.306,0.0051,23.283,0.0051,42.638,0.0051,70.279,0.0051,159.126
0.0052,0,0.0052,0,0.0052,0,0.0052,0.401,0.0052,1.416,0.0052,3.368,0.0052,6.126,0.0052,10.422,0.0052,23.652,0.0052,43.129,0.0052,70.996,0.0052,160.712
0.0053,0,0.0053,0,0.0053,0,0.0053,0.407,0.0053,1.428,0.0053,3.394,0.0053,6.191,0.0053,10.539,0.0053,24.02,0.0053,43.62,0.0053,71.712,0.0053,162.297
0.0054,0,0.0054,0,0.0054,0,0.0054,0.413,0.0054,1.44,0.0054,3.421,0.0054,6.257,0.0054,10.655,0.0054,24.388,0.0054,44.111,0.0054,72.428,0.0054,163.883
0.0055,0,0.0055,0,0.0055,0,0.0055,0.419,0.0055,1.453,0.0055,3.447,0.0055,6.322,0.0055,10.772,0.0055,24.756,0.0055,44.602,0.0055,73.144,0.0055,165.469
0.0056,0,0.0056,0,0.0056,0,0.0056,0.426,0.0056,1.465,0.0056,3.474,0.0056,6.388,0.0056,10.889,0.0056,25.125,0.0056,45.093,0.0056,73.86,0.0056,167.054
0.0057,0,0.0057,0,0.0057,0,0.0057,0.432,0.0057,1.477,0.0057,3.501,0.0057,6.453,0.0057,11.005,0.0057,25.493,0.0057,45.584,0.0057,74.576,0.0057,168.64
0.0058,0,0.0058,0,0.0058,0,0.0058,0.438,0.0058,1.489,0.0058,3.527,0.0058,6.518,0.0058,11.122,0.0058,25.861,0.0058,46.075,0.0058,75.292,0.0058,170.226
0.0059,0,0.0059,0,0.0059,0,0.0059,0.444,0.0059,1.502,0.0059,3.554,0.0059,6.584,0.0059,11.239,0.0059,26.229,0.0059,46.567,0.0059,76.008,0.0059,171.811
0.006,0,0.006,0,0.006,0,0.006,0.45,0.006,1.514,0.006,3.58,0.006,6.649,0.006,11.355,0.006,26.598,0.006,47.058,0.006,76.724,0.006,173.397
0.0061,0,0.0061,0,0.0061,0,0.0061,0.454,0.0061,1.528,0.0061,3.607,0.0061,6.721,0.0061,11.447,0.0061,26.905,0.0061,47.467,0.0061,77.236,,
0.0062,0,0.0062,0,0.0062,0,0.0062,0.458,0.0062,1.543,0.0062,3.634,0.0062,6.793,0.0062,11.539,0.0062,27.212,0.0062,47.876,0.0062,77.747,,
0.0063,0,0.0063,0,0.0063,0,0.0063,0.462,0.0063,1.557,0.0063,3.66,0.0063,6.864,0.0063,11.631,0.0063,27.518,0.0063,48.285,0.0063,78.259,,
0.0064,0,0.0064,0,0.0064,0,0.0064,0.466,0.0064,1.571,0.0064,3.687,0.0064,6.936,0.0064,11.723,0.0064,27.825,0.0064,48.694,0.0064,78.77,,
0.0065,0,0.0065,0,0.0065,0,0.0065,0.471,0.0065,1.586,0.0065,3.713,0.0065,7.007,0.0065,11.816,0.0065,28.132,0.0065,49.104,0.0065,79.282,,
0.0066,0,0.0066,0,0.0066,0,0.0066,0.475,0.0066,1.6,0.0066,3.74,0.0066,7.079,0.0066,11.908,0.0066,28.439,0.0066,49.513,0.0066,79.793,,
0.0067,0,0.0067,0,0.0067,0,0.0067,0.479,0.0067,1.614,0.0067,3.767,0.0067,7.151,0.0067,12,0.0067,28.746,0.0067,49.922,0.0067,80.305,,
0.0068,0,0.0068,0,0.0068,0,0.0068,0.483,0.0068,1.629,0.0068,3.793,0.0068,7.222,0.0068,12.092,0.0068,29.053,0.0068,50.331,0.0068,80.816,,
0.0069,0,0.0069,0,0.0069,0,0.0069,0.487,0.0069,1.643,0.0069,3.82,0.0069,7.294,0.0069,12.184,0.0069,29.36,0.0069,50.74,0.0069,81.328,,
0.007,0,0.007,0,0.007,0,0.007,0.491,0.007,1.657,0.007,3.846,0.007,7.366,0.007,12.276,0.007,29.667,0.007,51.15,0.007,81.839,,
0.0071,0,0.0071,0,0.0071,0,0.0071,0.495,0.0071,1.672,0.0071,3.861,0.0071,7.4,0.0071,12.378,0.0071,29.974,0.0071,51.661,0.0071,82.514,,
0.0072,0,0.0072,0,0.0072,0,0.0072,0.499,0.0072,1.686,0.0072,3.875,0.0072,7.435,0.0072,12.48,0.0072,30.281,0.0072,52.173,0.0072,83.19,,
0.0073,0,0.0073,0,0.0073,0,0.0073,0.503,0.0073,1.7,0.0073,3.889,0.0073,7.47,0.0073,12.583,0.0073,30.587,0.0073,52.684,0.0073,83.865,,
0.0074,0,0.0074,0,0.0074,0,0.0074,0.507,0.0074,1.715,0.0074,3.904,0.0074,7.505,0.0074,12.685,0.0074,30.894,0.0074,53.196,0.0074,84.54,,
0.0075,0,0.0075,0,0.0075,0,0.0075,0.511,0.0075,1.729,0.0075,3.918,0.0075,7.539,0.0075,12.787,0.0075,31.201,0.0075,53.707,0.0075,85.215,,
0.0076,0,0.0076,0,0.0076,0,0.0076,0.516,0.0076,1.743,0.0076,3.932,0.0076,7.574,0.0076,12.89,0.0076,31.508,0.0076,54.219,0.0076,85.89,,
0.0077,0,0.0077,0,0.0077,0,0.0077,0.52,0.0077,1.757,0.0077,3.947,0.0077,7.609,0.0077,12.992,0.0077,31.815,0.0077,54.73,0.0077,86.565,,
